# PDF systematics from CT10 only at this point
signal_1000_600,pdf,0.0809,0.0864,0.0875,0.0826,0.1042,0.1023,0.1423,0.0784,0.1243,0.0000
signal_1100_600,pdf,0.0877,0.0944,0.0960,0.1062,0.0992,0.0914,0.1758,0.1590,0.2998,0.0000
signal_1200_700,pdf,0.0902,0.1007,0.1068,0.1135,0.1117,0.1116,0.1712,0.1303,0.2842,0.1819
signal_1300_700,pdf,0.1094,0.1065,0.1185,0.1202,0.1208,0.1267,0.1539,0.1283,0.1925,0.1002
signal_1400_800,pdf,0.1179,0.1179,0.1235,0.1287,0.1351,0.1331,0.1849,0.2120,0.2612,0.2314
signal_1500_800,pdf,0.1141,0.1254,0.1353,0.1422,0.1452,0.1601,0.1826,0.1724,0.2005,0.1977
signal_1600_900,pdf,0.1244,0.1240,0.1421,0.1523,0.1568,0.1671,0.1922,0.1932,0.2296,0.3132
signal_1700_900,pdf,0.1453,0.1293,0.1556,0.1627,0.1721,0.1786,0.1823,0.1963,0.2516,0.3866
signal_1800_1000,pdf,0.1665,0.1527,0.1617,0.1823,0.1844,0.1943,0.2040,0.2234,0.2211,0.2785
signal_1900_1000,pdf,0.1762,0.1706,0.1460,0.1717,0.2004,0.2092,0.2140,0.2247,0.2097,0.2091
signal_2000_1100,pdf,0.1786,0.1682,0.1886,0.1873,0.2077,0.2246,0.2312,0.2464,0.2611,0.2891
signal_2100_1100,pdf,0.1955,0.1787,0.1717,0.2030,0.2167,0.2331,0.2452,0.2519,0.2695,0.2867
signal_2200_1200,pdf,0.3008,0.2202,0.1947,0.2122,0.2483,0.2603,0.2597,0.2756,0.2857,0.2845
signal_2300_1200,pdf,0.2764,0.2649,0.2489,0.2196,0.2317,0.2620,0.2843,0.2911,0.3084,0.3340
signal_2400_1300,pdf,0.2477,0.2969,0.2386,0.2297,0.2355,0.2935,0.3071,0.3250,0.3250,0.3448
signal_2500_1300,pdf,0.2589,0.3998,0.2345,0.2326,0.2412,0.2636,0.3036,0.3299,0.3447,0.3636
# Flattened Systematic at high mass
ttjets,pdf,0.0025,0.0035,0.0037,0.0031,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028
# Muliplied z+jets times 10 due to gluon PDF issue
zjets,pdf,0.0020,0.0030,0.0030,0.0030,0.0030,0.0040,0.0040,0.0040,0.0040,0.0040

ttjets,fact,1.067,1.038,1.054,1.086,1.086,1.086,1.086,1.086,1.086,1.086
ttjets,ren,1.061,1.030,1.034,1.072,1.072,1.072,1.072,1.072,1.072,1.072

zjets,fact,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
zjets,ren,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05

signal_1000_600,fact,1.004,1.004,1.004,1.004,1.004,1.004,1.004,1.004,1.004,1.004
signal_1000_600,isrfsr,1.010,1.010,1.010,1.010,1.010,1.010,1.010,1.010,1.010,1.010
signal_1100_600,fact,1.013,1.013,1.013,1.013,1.013,1.013,1.013,1.013,1.013,1.013
signal_1100_600,isrfsr,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005
signal_1200_700,fact,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007
signal_1200_700,isrfsr,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002
signal_1300_700,fact,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
signal_1300_700,isrfsr,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009
signal_1400_800,fact,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005
signal_1400_800,isrfsr,1.022,1.022,1.022,1.022,1.022,1.022,1.022,1.022,1.022,1.022
signal_1500_800,fact,1.014,1.014,1.014,1.014,1.014,1.014,1.014,1.014,1.014,1.014
signal_1500_800,isrfsr,1.013,1.013,1.013,1.013,1.013,1.013,1.013,1.013,1.013,1.013
signal_1600_900,fact,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008
signal_1600_900,isrfsr,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012
