18-Nov-2015 04:44:36 CST  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODBkgndFiles/TTBar_powheg_pythia8_13TeV_25ns_reMiniAOD_50kevts.root
18-Nov-2015 04:44:38 CST  Successfully opened file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODBkgndFiles/TTBar_powheg_pythia8_13TeV_25ns_reMiniAOD_50kevts.root
Begin processing the 1st record. Run 1, Event 28761248, LumiSection 144401 at 18-Nov-2015 04:44:39.745 CST

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   66 |  0  7 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   67 |  0  7 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    21 -          g | 21 |    0    0    4    6 |  1  3 |   0.000  22849.670  0.000 |      0.000      0.000     93.670    0.000 |
    3 |    21 -          g | 21 |    1    1    4    6 |  1  3 |   0.000 -23682.316  0.000 |      0.000      0.000   -926.316    0.000 |
    4 |     6 -          t | 22 |    2    3    7    7 |  2  1 | 106.042     -1.426 -0.982 |     58.905    -88.177   -207.967  175.204 |
    5 |    -6 -       tbar | 22 |    2    3    8    8 |  2  1 | 129.080     -2.327  2.180 |    -73.817    105.890   -654.806  175.563 |
    6 |    21 -          g | 23 |    2    3   21   54 |  2  4 |  23.155      1.079 -0.871 |     14.912    -17.713     30.127   -0.000 |
    7 |     6 -          t | 44 |    4    4    9    9 |  1  1 | 101.817     -1.411 -1.010 |     54.164    -86.215   -196.417  175.204 |
    8 |    -6 -       tbar | 44 |    5    5   10   10 |  1  1 | 130.903     -2.300  2.188 |    -75.811    106.716   -646.203  175.563 |
    9 |     6 -          t | 44 |    7    7   11   11 |  1  1 | 104.570     -1.380 -1.047 |     52.312    -90.545   -194.727  175.204 |
   10 |    -6 -       tbar | 44 |    8    8   12   12 |  1  1 | 129.880     -2.284  2.201 |    -76.591    104.894   -630.647  175.563 |
   11 |     6 -          t | 44 |    9    9   13   13 |  1  1 | 106.274     -1.363 -1.072 |     50.815    -93.339   -194.096  175.204 |
   12 |    -6 -       tbar | 44 |   10   10   14   14 |  1  1 | 129.308     -2.275  2.211 |    -77.221    103.718   -622.340  175.563 |
   13 |     6 -          t | 44 |   11   11   15   15 |  1  1 | 102.793     -1.370 -1.067 |     49.668    -89.997   -189.192  175.204 |
   14 |    -6 -       tbar | 44 |   12   12   16   16 |  1  1 | 130.725     -2.269  2.207 |    -77.704    105.124   -625.454  175.563 |
   15 |     6 -          t | 44 |   13   13   17   17 |  1  1 | 103.030     -1.378 -1.064 |     49.990    -90.090   -191.358  175.204 |
   16 |    -6 -       tbar | 44 |   14   14   18   18 |  1  1 | 129.992     -2.283  2.203 |    -76.815    104.869   -630.826  175.563 |
   17 |     6 -          t | 44 |   15   15   19   19 |  1  1 | 103.917     -1.370 -1.071 |     49.758    -91.230   -191.290  175.204 |
   18 |    -6 -       tbar | 44 |   16   16   20   20 |  1  1 | 127.854     -2.300  2.222 |    -77.454    101.723   -631.343  175.563 |
   19 |     6 -          t | 44 |   17   17   22   22 |  1  1 | 104.804     -1.362 -1.069 |     50.451    -91.861   -191.188  175.204 |
   20 |    -6 -       tbar | 44 |   18   18   24   24 |  1  1 | 125.310     -2.321  2.218 |    -75.543     99.980   -631.817  175.563 |
   21 |    21 -          g | 44 |    6    6   42   51 |  1  5 |   3.783      2.320  2.376 |     -2.728      2.620     19.059   -0.000 |
   22 |     6 -          t | 52 |   19   19   23   23 |  1  1 | 103.343     -1.360 -1.069 |     49.707    -90.604   -188.014  175.204 |
   23 |     6 -          t | 44 |   22   22   25   25 |  1  1 | 102.627     -1.362 -1.067 |     49.552    -89.872   -187.182  175.204 |
   24 |    -6 -       tbar | 44 |   20   20   26   26 |  1  1 | 125.583     -2.320  2.217 |    -75.605    100.274   -632.764  175.563 |
   25 |     6 -          t | 52 |   23   23   27   27 |  1  1 | 102.371     -1.362 -1.067 |     49.426    -89.649   -186.631  175.204 |
   26 |    -6 -       tbar | 52 |   24   24   28   28 |  1  1 | 125.542     -2.320  2.217 |    -75.571    100.249   -632.879  175.563 |
   27 |     6 -          t | 44 |   25   25   29   29 |  1  1 | 102.484     -1.361 -1.067 |     49.500    -89.737   -186.607  175.204 |
   28 |    -6 -       tbar | 44 |   26   26   30   30 |  1  1 | 125.220     -2.323  2.217 |    -75.365    100.001   -632.912  175.563 |
   29 |     6 -          t | 62 |   27   27   31   32 |  1  2 | 102.062     -1.365 -1.068 |     49.186    -89.427   -186.687  175.204 |
   30 |    -6 -       tbar | 62 |   28   28   34   35 |  1  2 | 126.274     -2.315  2.210 |    -75.301    101.365   -632.914  175.563 |
   31 |    24 -         W+ | 22 |   29   29   33   33 |  1  1 | 125.508     -1.109 -1.426 |     18.093   -124.197   -169.492   80.307 |
   32 |     5 -          b | 23 |   29   29   46   50 |  1  4 |  46.644     -0.361  0.841 |     31.093     34.769    -17.195    4.800 |
   33 |    24 -         W+ | 52 |   31   31   37   38 |  1  2 | 118.422     -1.117 -1.418 |     18.038   -117.040   -161.490   80.307 |
   34 |   -24 -         W- | 22 |   30   30   36   36 |  1  1 |  52.494     -2.265  0.963 |     29.988     43.085   -250.045   79.152 |
   35 |    -5 -       bbar | 23 |   30   30   43   67 |  1  4 | 120.342     -1.874  2.636 |   -105.288     58.280   -382.869    4.800 |
   36 |   -24 -         W- | 52 |   34   34   40   41 |  1  2 |  51.303     -2.283  0.987 |     28.260     42.819   -248.970   79.152 |
   37 |    -1 -       dbar | 23 |   33   33   61   64 |  1  4 |  79.637     -0.503 -1.411 |     12.686    -78.620    -41.802    0.100 |
   38 |     2 -          u | 23 |   33   33   39   39 |  1  1 |  38.790     -1.845 -1.432 |      5.352    -38.419   -119.688    0.100 |
   39 |     2 -          u | 52 |   38   38   59   64 |  1  3 |  33.995     -1.845 -1.432 |      4.690    -33.669   -104.891    0.100 |
   40 |    13 -        mu- |  1 |   36   36   -1   -1 |  1  0 |  21.652     -0.570  2.236 |    -13.366     17.034    -13.027    0.106 |
   41 |   -14 -   nu_mubar |  1 |   36   36   -1   -1 |  1  0 |  48.964     -2.276  0.555 |     41.625     25.785   -235.943    0.000 |
   42 |    -5 -       bbar | 73 |   21   21   47   47 |  1  1 |   2.801      2.444  2.149 |     -1.531      2.345     16.011    5.148 |
   43 |    21 -          g | 71 |   35   35   45   67 |  1  2 |   9.080     -1.950  2.241 |     -5.639      7.117    -31.251    0.000 |
   44 |    -5 -       bbar | 71 |   35   35   45   67 |  1  2 | 101.351     -1.840  2.666 |    -90.081     46.449   -311.007    4.800 |
   45 |   513 -        B*0 |  2 |    1   44   68   68 |  4  1 |  76.286     -1.847  2.664 |    -67.746     35.073   -235.938    5.325 |
   46 |     5 -          b | 71 |   32   32   48   50 |  1  3 |  36.495     -0.347  0.549 |     31.137     19.036    -12.910    4.800 |
   47 |    -5 -       bbar | 71 |   42   42   48   50 |  1  3 |   2.801      2.444  2.149 |     -1.531      2.345     16.011    5.148 |
   48 |  -511 -      Bbar0 |  2 |   21   47   69   71 |  4  3 |  31.692     -0.349  0.576 |     26.579     17.261    -11.301    5.280 |
   49 |  2212 -         p+ |  1 |   21   47   -1   -1 |  4  0 |   0.946     -1.167  2.087 |     -0.467      0.823     -1.372    0.938 |
   50 |   513 -        B*0 |  2 |   21   47   72   72 |  4  1 |   2.629      2.443  2.282 |     -1.716      1.992     15.012    5.325 |
   51 |     5 -          b | 71 |   21   21   56   58 |  1  3 |   1.391     -0.155 -1.520 |      0.071     -1.390     -0.217    4.800 |
   52 |    21 -          g | 71 |    6    6   56   58 |  1  3 |   1.461     -0.093 -1.211 |      0.515     -1.368     -0.136   -0.000 |
   53 |    21 -          g | 71 |    6    6   56   58 |  1  3 |  11.284      0.148 -0.916 |      6.873     -8.949      1.673   -0.000 |
   54 |    21 -          g | 71 |    6    6   56   58 |  1  3 |  11.684      0.295 -1.091 |      5.392    -10.366      3.495   -0.000 |
   55 |    -2 -       ubar | 71 |    0    0   56   58 |  1  3 |   2.273      1.423 -2.180 |     -1.301     -1.864      4.439    0.330 |
   56 |  -513 -     B*bar0 |  2 |    0   55   73   73 |  7  1 |   2.719     -0.059 -1.461 |      0.299     -2.702     -0.162    5.325 |
   57 |  2212 -         p+ |  1 |    0   55   -1   -1 |  7  0 |   3.262      0.152 -0.922 |      1.971     -2.599      0.497    0.938 |
   58 |  2212 -         p+ |  1 |    0   55   -1   -1 |  7  0 |   0.597     -1.449 -0.114 |      0.593     -0.068     -1.201    0.938 |
   59 |     2 -          u | 71 |   39   39   64   64 |  1  1 |  20.313     -1.869 -1.473 |      1.984    -20.216    -64.266    0.100 |
   60 |    21 -          g | 71 |   39   39   64   64 |  1  1 |  10.426     -1.779 -1.435 |      1.413    -10.329    -30.013    0.000 |
   61 |    21 -          g | 71 |   37   37   64   64 |  1  1 |  30.062     -0.864 -1.692 |     -3.648    -29.840    -29.311   -0.000 |
   62 |    21 -          g | 71 |   37   37   64   64 |  1  1 |   5.565     -0.446 -1.349 |      1.224     -5.429     -2.566   -0.000 |
   63 |    -1 -       dbar | 71 |   37   37   64   64 |  1  1 |  47.867     -0.434 -1.243 |     15.423    -45.315    -21.443    0.100 |
   64 |  2212 -         p+ |  1 |   37   63   -1   -1 |  7  0 |  12.700     -0.425 -1.236 |      4.171    -11.995     -5.565    0.938 |
   65 |    21 -          g | 71 |    0    0   66   66 |  1  1 |   5.447     -0.378  0.799 |      3.799      3.903     -2.111    0.000 |
   66 |  2212 -         p+ |  1 |    0   65   -1   -1 |  3  0 |   1.671      0.699 -0.946 |      0.977     -1.356      1.267    0.938 |
   67 |   310 -       K_S0 |  1 |    1   44   -1   -1 |  4  0 |   4.913     -1.905  2.337 |     -3.408      3.538    -16.138    0.498 |
   68 |   511 -         B0 |  2 |   45   45   74   74 |  1  1 |  75.239     -1.847  2.664 |    -66.805     34.614   -232.623    5.280 |
   69 |    12 -       nu_e |  1 |   48   48   -1   -1 |  1  0 |  11.480     -0.384  0.603 |      9.459      6.506     -4.518    0.000 |
   70 |   -11 -         e+ |  1 |   48   48   -1   -1 |  1  0 |   3.186      0.075  0.490 |      2.812      1.498      0.239    0.001 |
   71 |  -411 -         D- |  2 |   48   48   75   76 |  1  2 |  17.041     -0.401  0.574 |     14.309      9.256     -7.021    1.870 |
   72 |   511 -         B0 |  2 |   50   50   77   78 |  1  2 |   2.597      2.452  2.272 |     -1.676      1.984     14.972    5.280 |
   73 |  -511 -      Bbar0 |  2 |   56   56   79   80 |  1  2 |   2.661     -0.070 -1.468 |      0.273     -2.647     -0.186    5.280 |
   74 |  -411 -         D- |  2 |   68   68   -1   -1 |  1  0 |  29.826     -1.860  2.665 |    -26.508     13.672    -93.482    1.870 |
   75 |    13 -        mu- |  1 |   71   71   -1   -1 |  1  0 |   8.778     -0.448  0.528 |      7.585      4.419     -4.061    0.106 |
   76 |   -14 -   nu_mubar |  1 |   71   71   -1   -1 |  1  0 |   5.466     -0.342  0.577 |      4.580      2.984     -1.905    0.000 |
   77 |  -433 -      D*_s- |  2 |   72   72   81   81 |  1  1 |   1.589      2.148  1.968 |     -0.614      1.465      6.712    2.112 |
   78 |   411 -         D+ |  2 |   72   72   -1   -1 |  1  0 |   0.411      3.449  2.376 |     -0.296      0.285      6.460    1.870 |
   79 |   411 -         D+ |  2 |   73   73   82   83 |  1  2 |   1.201      0.883 -1.932 |     -0.425     -1.123      1.203    1.870 |
   80 |  -411 -         D- |  2 |   73   73   -1   -1 |  1  0 |   1.270     -1.000 -1.004 |      0.682     -1.072     -1.492    1.870 |
   81 |  -431 -       D_s- |  2 |   77   77   -1   -1 |  1  0 |   1.311      2.222  1.970 |     -0.510      1.208      5.978    1.968 |
   82 |   -13 -        mu+ |  1 |   79   79   -1   -1 |  1  0 |   0.245      0.263  2.973 |     -0.241      0.041      0.065    0.106 |
   83 |    14 -      nu_mu |  1 |   79   79   -1   -1 |  1  0 |   1.338      0.443 -1.530 |      0.054     -1.337      0.613    0.000 |


THIS EVENT HAS A TBAR WHICH DECAYS LEPTONICALLY

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   87 |  0 26 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   87 |  0 28 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |     2 -          u | 21 |    0    0    4    6 |  1  3 |   0.000  23250.707  0.000 |      0.000      0.000    494.707    0.000 |
    3 |    21 -          g | 21 |    1    1    4    6 |  1  3 |   0.000 -23055.365  0.000 |      0.000      0.000   -299.365    0.000 |
    4 |     6 -          t | 22 |    2    3    7    7 |  2  1 |  44.754      1.438  1.913 |    -15.020     42.158     88.939  179.021 |
    5 |    -6 -       tbar | 22 |    2    3    8    8 |  2  1 | 156.808     -0.944 -1.503 |     10.672   -156.444   -171.087  172.379 |
    6 |     2 -          u | 23 |    2    3   23   23 |  2  1 | 114.369      1.619  1.533 |      4.348    114.286    277.490    0.100 |
    7 |     6 -          t | 44 |    4    4    9    9 |  1  1 |  19.111      2.404  2.517 |    -15.500     11.180    104.896  179.021 |
    8 |    -6 -       tbar | 44 |    5    5   10   10 |  1  1 | 169.213     -0.880 -1.509 |     10.479   -168.888   -168.938  172.379 |
    9 |     6 -          t | 44 |    7    7   11   11 |  1  1 |  19.603      2.332  2.625 |    -17.048      9.676     99.997  179.021 |
   10 |    -6 -       tbar | 44 |    8    8   12   12 |  1  1 | 175.660     -0.874 -1.551 |      3.539   -175.625   -173.746  172.379 |
   11 |     6 -          t | 44 |    9    9   13   13 |  1  1 |  16.437      2.469  2.650 |    -14.491      7.758     96.411  179.021 |
   12 |    -6 -       tbar | 44 |   10   10   14   14 |  1  1 | 184.829     -0.843 -1.490 |     15.000   -184.220   -174.824  172.379 |
   13 |     6 -          t | 44 |   11   11   15   15 |  1  1 |  17.772      2.395  2.639 |    -15.571      8.565     96.696  179.021 |
   14 |    -6 -       tbar | 44 |   12   12   16   16 |  1  1 | 184.437     -0.840 -1.492 |     14.523   -183.864   -173.734  172.379 |
   15 |     6 -          t | 44 |   13   13   17   17 |  1  1 |  17.091      2.428  2.669 |    -15.215      7.784     96.155  179.021 |
   16 |    -6 -       tbar | 44 |   14   14   18   18 |  1  1 | 188.044     -0.824 -1.485 |     16.113   -187.352   -172.985  172.379 |
   17 |     6 -          t | 44 |   15   15   19   19 |  1  1 |  17.601      2.400  2.650 |    -15.516      8.310     96.217  179.021 |
   18 |    -6 -       tbar | 44 |   16   16   20   20 |  1  1 | 185.593     -0.836 -1.491 |     14.769   -185.004   -173.967  172.379 |
